name,phone,birthday
Alisha,whatsapp:+918899558910,1995-05-23
Bob,whatsapp:+911112223334,1992-08-12
Charlie,whatsapp:+919876543210,1988-11-03
David,whatsapp:+918765432109,1990-06-15
Eva,whatsapp:+917654321098,1994-03-22
Frank,whatsapp:+916543210987,1991-07-09
Grace,whatsapp:+915432109876,1993-09-30
Hannah,whatsapp:+914321098765,1996-12-19
Ian,whatsapp:+913210987654,1989-01-01
Jane,whatsapp:+912109876543,1997-10-25
Kevin,whatsapp:+911098765432,1998-04-18
Laura,whatsapp:+910987654321,1993-02-14
Mike,whatsapp:+919876123450,1992-07-07
Nina,whatsapp:+918765432123,1990-08-28
Oscar,whatsapp:+917654321234,1987-05-05
Pam,whatsapp:+916543212345,1991-03-03
Quinn,whatsapp:+915432123456,1995-11-11
Rita,whatsapp:+914321234567,1989-12-31
Sam,whatsapp:+913212345678,1994-06-06
Tina,whatsapp:+912123456789,1996-09-09
Uma,whatsapp:+911234567891,1993-01-23
Victor,whatsapp:+910123456789,1992-10-10
Wendy,whatsapp:+919999999999,1990-04-04
Xander,whatsapp:+918888888888,1988-08-08
Yara,whatsapp:+917777777777,1997-03-17
Zane,whatsapp:+916666666666,1986-02-02
